[2026-05-19T17:24:10+0300] Launching realtime watcher process...
2026-05-19 17:24:11,986 DEBUG asyncio | Using selector: KqueueSelector
2026-05-19 17:24:12,238 DEBUG realtime._async.client | Attempting to connect to WebSocket at wss://gsdrcyrduxbrxgsvhxvr.supabase.co/realtime/v1/websocket?apikey=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6ImdzZHJjeXJkdXhicnhnc3ZoeHZyIiwicm9sZSI6InNlcnZpY2Vfcm9sZSIsImlhdCI6MTc3MzkyNzIwNywiZXhwIjoyMDg5NTAzMjA3fQ.TjKRxxgHXJ5wIeBlkC9LmAqSVEa_O-EUM7LDDhvmUWE
2026-05-19 17:24:12,255 DEBUG websockets.client | = connection is CONNECTING
2026-05-19 17:24:12,289 DEBUG websockets.client | > GET /realtime/v1/websocket?apikey=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6ImdzZHJjeXJkdXhicnhnc3ZoeHZyIiwicm9sZSI6InNlcnZpY2Vfcm9sZSIsImlhdCI6MTc3MzkyNzIwNywiZXhwIjoyMDg5NTAzMjA3fQ.TjKRxxgHXJ5wIeBlkC9LmAqSVEa_O-EUM7LDDhvmUWE HTTP/1.1
2026-05-19 17:24:12,289 DEBUG websockets.client | > Host: gsdrcyrduxbrxgsvhxvr.supabase.co
2026-05-19 17:24:12,289 DEBUG websockets.client | > Upgrade: websocket
2026-05-19 17:24:12,289 DEBUG websockets.client | > Connection: Upgrade
2026-05-19 17:24:12,289 DEBUG websockets.client | > Sec-WebSocket-Key: BPCLWxm0OzqFVnlDd+mZ7w==
2026-05-19 17:24:12,289 DEBUG websockets.client | > Sec-WebSocket-Version: 13
2026-05-19 17:24:12,289 DEBUG websockets.client | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2026-05-19 17:24:12,289 DEBUG websockets.client | > User-Agent: Python/3.13 websockets/15.0.1
2026-05-19 17:24:12,650 DEBUG websockets.client | < HTTP/1.1 101 Switching Protocols
2026-05-19 17:24:12,650 DEBUG websockets.client | < Date: Tue, 19 May 2026 14:25:00 GMT
2026-05-19 17:24:12,650 DEBUG websockets.client | < Connection: upgrade
2026-05-19 17:24:12,650 DEBUG websockets.client | < Upgrade: websocket
2026-05-19 17:24:12,650 DEBUG websockets.client | < Sec-WebSocket-Accept: j0sVHRgUv7rFt1nMFiEWVOdlmuM=
2026-05-19 17:24:12,650 DEBUG websockets.client | < CF-Ray: 9fe3c4bacdfb54b5-TLV
2026-05-19 17:24:12,650 DEBUG websockets.client | < CF-Cache-Status: DYNAMIC
2026-05-19 17:24:12,651 DEBUG websockets.client | < Cache-Control: max-age=0, private, must-revalidate
2026-05-19 17:24:12,651 DEBUG websockets.client | < Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
2026-05-19 17:24:12,651 DEBUG websockets.client | < sb-gateway-mode: direct
2026-05-19 17:24:12,651 DEBUG websockets.client | < sb-gateway-version: 1
2026-05-19 17:24:12,651 DEBUG websockets.client | < sb-project-ref: gsdrcyrduxbrxgsvhxvr
2026-05-19 17:24:12,651 DEBUG websockets.client | < sb-request-id: 019e40a0-30c5-727c-9d3d-b89ac2afc8ce
2026-05-19 17:24:12,651 DEBUG websockets.client | < Set-Cookie: __cf_bm=gQ55t6tA_D3tp.98ETN.hyvo4RooIkFLRlnqSZlZg9g-1779200700-1.0.1.1-4o25Avlm9VN4_TxUx9gX4XhkwSYLflAEZnYzoHhp_0kuq_238oTo7ZQSumYFzOjvxqPyqy5.U2vfmUrIwzlKtQ1vr0oAPPWrdPTu7W.NPt0; path=/; expires=Tue, 19-May-26 14:55:00 GMT; domain=.supabase.co; HttpOnly; Secure; SameSite=None
2026-05-19 17:24:12,651 DEBUG websockets.client | < Server: cloudflare
2026-05-19 17:24:12,651 DEBUG websockets.client | < alt-svc: h3=":443"; ma=86400
2026-05-19 17:24:12,651 DEBUG websockets.client | = connection is OPEN
2026-05-19 17:24:12,652 DEBUG realtime._async.client | WebSocket connection established successfully
2026-05-19 17:24:12,652 DEBUG realtime._async.channel | Rejoining channel after reconnection: realtime:realtime-watcher-1779200652
2026-05-19 17:24:12,653 DEBUG realtime._async.client | send: {"event":"phx_join","payload":{"config":{"broadcast":{"ack":false,"self":false},"presence":{"key":"","enabled":false},"private":false,"postgres_changes":[{"event":"UPDATE","schema":"public","table":"finalMovies"},{"event":"UPDATE","schema":"public","table":"finalSoons"},{"event":"INSERT","schema":"public","table":"finalMovies"},{"event":"INSERT","schema":"public","table":"finalSoons"},{"event":"DELETE","schema":"public","table":"finalMovies"},{"event":"DELETE","schema":"public","table":"finalSoons"}]},"access_token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6ImdzZHJjeXJkdXhicnhnc3ZoeHZyIiwicm9sZSI6InNlcnZpY2Vfcm9sZSIsImlhdCI6MTc3MzkyNzIwNywiZXhwIjoyMDg5NTAzMjA3fQ.TjKRxxgHXJ5wIeBlkC9LmAqSVEa_O-EUM7LDDhvmUWE"},"topic":"realtime:realtime-watcher-1779200652","ref":"1","join_ref":null}
2026-05-19 17:24:12,653 DEBUG websockets.client | > TEXT '{"event":"phx_join","payload":{"config":{"broad...f":"1","join_ref":null}' [818 bytes]
2026-05-19 17:24:12,654 INFO realtime_watcher.listener | Subscribed to realtime changes for public.finalMovies and public.finalSoons
2026-05-19 17:24:12,654 DEBUG realtime._async.client | send: {"event":"heartbeat","payload":{},"topic":"phoenix","ref":null,"join_ref":null}
2026-05-19 17:24:12,654 DEBUG websockets.client | > TEXT '{"event":"heartbeat","payload":{},"topic":"phoe...":null,"join_ref":null}' [79 bytes]
2026-05-19 17:24:12,737 DEBUG websockets.client | < TEXT '{"ref":"1","event":"phx_reply","payload":{"stat...me-watcher-1779200652"}' [572 bytes]
2026-05-19 17:24:12,737 DEBUG websockets.client | < TEXT '{"ref":null,"event":"phx_reply","payload":{"sta...:{}},"topic":"phoenix"}' [90 bytes]
2026-05-19 17:24:12,737 DEBUG realtime._async.client | receive: '{"ref":"1","event":"phx_reply","payload":{"status":"ok","response":{"postgres_changes":[{"id":58734927,"event":"UPDATE","schema":"public","table":"finalMovies"},{"id":22512208,"event":"UPDATE","schema":"public","table":"finalSoons"},{"id":49055384,"event":"INSERT","schema":"public","table":"finalMovies"},{"id":24025174,"event":"INSERT","schema":"public","table":"finalSoons"},{"id":65508688,"event":"DELETE","schema":"public","table":"finalMovies"},{"id":9240672,"event":"DELETE","schema":"public","table":"finalSoons"}]}},"topic":"realtime:realtime-watcher-1779200652"}'
2026-05-19 17:24:12,738 DEBUG realtime._async.client | parsed message as ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='realtime:realtime-watcher-1779200652', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=[PostgresRowChange(id=58734927, event=<RealtimePostgresChangesListenEvent.Update: 'UPDATE'>, table='finalMovies', schema_='public', filter=None), PostgresRowChange(id=22512208, event=<RealtimePostgresChangesListenEvent.Update: 'UPDATE'>, table='finalSoons', schema_='public', filter=None), PostgresRowChange(id=49055384, event=<RealtimePostgresChangesListenEvent.Insert: 'INSERT'>, table='finalMovies', schema_='public', filter=None), PostgresRowChange(id=24025174, event=<RealtimePostgresChangesListenEvent.Insert: 'INSERT'>, table='finalSoons', schema_='public', filter=None), PostgresRowChange(id=65508688, event=<RealtimePostgresChangesListenEvent.Delete: 'DELETE'>, table='finalMovies', schema_='public', filter=None), PostgresRowChange(id=9240672, event=<RealtimePostgresChangesListenEvent.Delete: 'DELETE'>, table='finalSoons', schema_='public', filter=None)])), ref='1')
2026-05-19 17:24:12,739 DEBUG realtime._async.channel | realtime:realtime-watcher-1779200652 : ReplyMessage(event=<ChannelEvents.reply: 'phx_reply'>, topic='realtime:realtime-watcher-1779200652', payload=SuccessReplyMessage(status='ok', response=ReplyPostgresChanges(postgres_changes=[PostgresRowChange(id=58734927, event=<RealtimePostgresChangesListenEvent.Update: 'UPDATE'>, table='finalMovies', schema_='public', filter=None), PostgresRowChange(id=22512208, event=<RealtimePostgresChangesListenEvent.Update: 'UPDATE'>, table='finalSoons', schema_='public', filter=None), PostgresRowChange(id=49055384, event=<RealtimePostgresChangesListenEvent.Insert: 'INSERT'>, table='finalMovies', schema_='public', filter=None), PostgresRowChange(id=24025174, event=<RealtimePostgresChangesListenEvent.Insert: 'INSERT'>, table='finalSoons', schema_='public', filter=None), PostgresRowChange(id=65508688, event=<RealtimePostgresChangesListenEvent.Delete: 'DELETE'>, table='finalMovies', schema_='public', filter=None), PostgresRowChange(id=9240672, event=<RealtimePostgresChangesListenEvent.Delete: 'DELETE'>, table='finalSoons', schema_='public', filter=None)])), ref='1')
2026-05-19 17:24:12,739 DEBUG realtime._async.channel | id=58734927 event=<RealtimePostgresChangesListenEvent.Update: 'UPDATE'> table='finalMovies' schema_='public' filter=None, PostgresChangesCallback(callback=<function _subscribe_forever.<locals>.on_movies_change at 0x111f12200>, event='UPDATE', table='finalMovies', schema='public', filter=None, id=None)
2026-05-19 17:24:12,739 DEBUG realtime._async.channel | id=22512208 event=<RealtimePostgresChangesListenEvent.Update: 'UPDATE'> table='finalSoons' schema_='public' filter=None, PostgresChangesCallback(callback=<function _subscribe_forever.<locals>.on_soons_change at 0x111f122a0>, event='UPDATE', table='finalSoons', schema='public', filter=None, id=None)
2026-05-19 17:24:12,739 DEBUG realtime._async.channel | id=49055384 event=<RealtimePostgresChangesListenEvent.Insert: 'INSERT'> table='finalMovies' schema_='public' filter=None, PostgresChangesCallback(callback=<function _subscribe_forever.<locals>.on_movies_change at 0x111f12200>, event='INSERT', table='finalMovies', schema='public', filter=None, id=None)
2026-05-19 17:24:12,739 DEBUG realtime._async.channel | id=24025174 event=<RealtimePostgresChangesListenEvent.Insert: 'INSERT'> table='finalSoons' schema_='public' filter=None, PostgresChangesCallback(callback=<function _subscribe_forever.<locals>.on_soons_change at 0x111f122a0>, event='INSERT', table='finalSoons', schema='public', filter=None, id=None)
