title,poster,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,popularity
And the Party Goes On,https://m.media-amazon.com/images/M/MV5BNjg3NDgzYTktOGU2Ny00NWUyLTllMTgtNzg0MGM4MjRkMWRiXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,106,tt28182919,6.3,300,0,71.46
Anora,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,139,tt28607951,8.2,19K,96,99.49
Arugam Bay,https://m.media-amazon.com/images/M/MV5BNGRhZmUyMTYtY2M4Yi00ZjdkLTg1YjQtYTdmOTkxZGFiOTk0XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,97,tt23790724,0.0,0,0,70.19
Babygirl,https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,114,tt30057084,6.0,1K,88,53.57
Cellar Door,https://m.media-amazon.com/images/M/MV5BYmIyNDdkMWUtNmU3MC00MzAyLWIxZTMtNDk5MjgwMTRjNzcyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,97,tt11950888,5.2,2K,24,71.52
Cocorico,https://m.media-amazon.com/images/M/MV5BMDQ4ODhkMGQtMDdhYS00YmU4LWI3NjItMzhhYzg0M2EwNTdmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,92,tt19381382,5.8,3K,0,79.49
Eid Mubarak,https://m.media-amazon.com/images/M/MV5BZjRiY2IyMjgtZDZiYi00YTA0LTk4NmMtMzBkMzk5NDIxNzdjXkEyXkFqcGdeQXVyMTAxNjIwMjYz._V1_SX300.jpg,2023,yes,16,tt21822260,0.0,0,0,68.97
Emilia Pérez,https://m.media-amazon.com/images/M/MV5BMGM0OGNhMzktZGFlNC00NDRmLWJmOTgtYmQ0N2JlZGJhMzQyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,132,tt20221436,7.0,9K,0,46.73
Fallen Leaves,https://m.media-amazon.com/images/M/MV5BZjNkY2M5NWMtZjJiMy00YTZmLWI2NWEtZTI0MjhmNDc4ZThmXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,81,tt21027780,7.3,29K,97,4.46
Gladiator II,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,148,tt9218128,7.0,34K,71,78.06
Goodrich,https://m.media-amazon.com/images/M/MV5BMWVkNDNmYjEtNDZiYS00NjcyLWJiMWYtZTc2Y2FhMzc4NTE0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110,tt10171472,6.3,2K,81,55.17
Here,https://m.media-amazon.com/images/M/MV5BYWQ5ZDQ5YWQtMThiMS00MGM4LTk2NjktYTllYzg2NTRiNTMxXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,104,tt18272208,6.2,6K,37,62.86
Here Now,https://m.media-amazon.com/images/M/MV5BMTRhYmMxMGEtNTA2ZS00MzMwLTk4NmItYTcyYWJjYjhmMTYwXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,118,tt29293152,0.0,0,0,74.74
Heretic,https://m.media-amazon.com/images/M/MV5BMzFiMWM4YjAtY2Y3Yi00MDIzLTk0N2MtYTAwNGM3ZmMwODhlXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,111,tt28015403,7.3,14K,91,73.13
Hounds of War,https://m.media-amazon.com/images/M/MV5BMGM4NTYxMjktOTIxMS00NTQ0LWI1ZjAtY2JmODM1YjgyNTUzXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,95,tt12972134,4.5,1K,0,62.5
Io Capitano,https://m.media-amazon.com/images/M/MV5BZGI1OTg3MGMtZTFhMy00ZjFkLTk5YmEtY2MzMDIzNTA3MzdiXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,121,tt14225838,7.6,14K,96,63.22
Kraven the Hunter,https://m.media-amazon.com/images/M/MV5BZDU0YTI5ODAtN2NmMS00YTg3LTgyNDItN2RmOWEzOTkzZjcyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,127,tt8790086,0.0,0,15,87.28
La Cocina,https://m.media-amazon.com/images/M/MV5BMGYyYjI3MGQtNGIzNS00MTgxLWE2NDctMmZlNzE5OGY4NTY3XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,139,tt19864832,7.4,800,71,56.32
Lee,https://m.media-amazon.com/images/M/MV5BMDlhMDY0NTAtOTQwZi00ZjIxLTk2ZmYtZjU1Y2FiYWRhZDk3XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,117,tt5112584,6.9,14K,66,78.35
Matchmaking 2,https://m.media-amazon.com/images/M/MV5BYTQ5MDRiZjMtNzRjMi00Njk4LTliMjQtMTQxMjhlOGYxNDM5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110,tt34170136,7.9,0,0,82.76
Memory,https://m.media-amazon.com/images/M/MV5BM2NkYzhkOGEtZjgyMi00ZTc3LTlkYTMtYzhkOTZjZTQyYjAzXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,103,tt19864828,6.7,8K,85,8.93
Moana 2,https://m.media-amazon.com/images/M/MV5BZDUxNThhYTUtYjgxNy00MGQ4LTgzOTEtZjg1YTU5NTcwNThlXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,100,tt13622970,0.0,0,61,68.62
Mufasa: The Lion King,https://m.media-amazon.com/images/M/MV5BYjBkOWUwODYtYWI3YS00N2I0LWEyYTktOTJjM2YzOTc3ZDNlXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,120,tt13186482,0.0,0,0,84.89
Nosferatu,https://m.media-amazon.com/images/M/MV5BYTQ3NGFjNTktNjdmYi00NDc1LTllZTYtOGMyZGE4OWQzMjRiXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,132,tt5040012,0.0,0,94,97.92
Red One,https://m.media-amazon.com/images/M/MV5BZmFkMjE4NjQtZTVmZS00MDZjLWE2ZmEtZTkzODljNjhlNWUxXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,123,tt14948432,6.9,37K,30,71.26
The Braid,https://m.media-amazon.com/images/M/MV5BMTJkZTQ1ZWEtMzQ1Ni00MmU2LTgzZTctYmI4MDc4YWJhMWViXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,121,tt19894774,7.2,1K,0,53.51
The Lord of the Rings: The War of the Rohirrim,https://m.media-amazon.com/images/M/MV5BMmU1YzZkMjAtYjNjOC00ZDFhLWE3Y2QtZTM2ZTdkZWM1OGM3XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,134,tt14824600,0.0,0,50,77.01
Sonic 3,N/A,2022,yes,8,tt11534542,0.0,0,0,81.67
