cinema,date,time,title,year,href,poster
HRZCT,25-01-01,11:00,Sonic the Hedgehog 3,2024,https://www.hcinema.org.il/event/%d7%a1%d7%95%d7%a0%d7%99%d7%a7-%d7%94%d7%a1%d7%a8%d7%98-3-sonic-the-hedgehog-3-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%99%d7%91%d7%a8%d7%99/2025-01-01/1/,https://m.media-amazon.com/images/M/MV5BMjZjNjE5NDEtOWJjYS00Mjk2LWI1ZDYtOWI1ZWI3MzRjM2UzXkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-01,11:30,Moana 2,2024,https://www.hcinema.org.il/event/%d7%9e%d7%95%d7%90%d7%a0%d7%94-2-moana-2-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%99%d7%91%d7%a8%d7%99/2025-01-01/,https://m.media-amazon.com/images/M/MV5BZDUxNThhYTUtYjgxNy00MGQ4LTgzOTEtZjg1YTU5NTcwNThlXkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-01,14:00,Riviera Revenge,,https://www.hcinema.org.il/event/%d7%9e%d7%9b%d7%aa%d7%91%d7%99-%d7%90%d7%94%d7%91%d7%94-%d7%9e%d7%94%d7%a8%d7%99%d7%91%d7%99%d7%99%d7%a8%d7%94-riviera-revenge/2025-01-01/,
HRZCT,25-01-01,14:30,Wicked,2024,https://www.hcinema.org.il/event/%d7%9e%d7%a8%d7%a9%d7%a2%d7%aa-wicked-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%99%d7%91%d7%a8%d7%99/2025-01-01/,https://m.media-amazon.com/images/M/MV5BOWMwYjYzYmMtMWQ2Ni00NWUwLTg2MzAtYzkzMDBiZDIwOTMwXkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-01,17:00,Sonic the Hedgehog 3,2024,https://www.hcinema.org.il/event/%d7%a1%d7%95%d7%a0%d7%99%d7%a7-%d7%94%d7%a1%d7%a8%d7%98-3-sonic-the-hedgehog-3-%d7%93%d7%99%d7%91%d7%95%d7%91-%d7%a2%d7%99%d7%91%d7%a8%d7%99/2025-01-01/2/,https://m.media-amazon.com/images/M/MV5BMjZjNjE5NDEtOWJjYS00Mjk2LWI1ZDYtOWI1ZWI3MzRjM2UzXkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-01,17:30,The Vanishing Soldier,2023,https://www.hcinema.org.il/event/%d7%94%d7%97%d7%99%d7%99%d7%9c-%d7%94%d7%a0%d7%a2%d7%9c%d7%9d-the-vanishing-soldier-2/2025-01-01/,https://m.media-amazon.com/images/M/MV5BN2YyOTVhMjUtZTM0ZC00MDY3LTgyYzEtMGQxMmQwZmQzZTJkXkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-01,20:00,The Ring,2024,https://www.hcinema.org.il/event/%d7%94%d7%98%d7%91%d7%a2%d7%aa-the-ring-2/2025-01-01/,https://m.media-amazon.com/images/M/MV5BNmYxZDRkOTEtMjcyYS00MDlhLTk5OGItNDNiMTA4NzBjNjJmXkEyXkFqcGc@._V1_SX300.jpg
HRZCT,25-01-01,20:30,Riviera Revenge,,https://www.hcinema.org.il/event/%d7%9e%d7%9b%d7%aa%d7%91%d7%99-%d7%90%d7%94%d7%91%d7%94-%d7%9e%d7%94%d7%a8%d7%99%d7%91%d7%99%d7%99%d7%a8%d7%94-riviera-revenge-%d7%91%d7%aa%d7%90%d7%a8%d7%99%d7%9a-%d7%96%d7%94-%d7%91%d7%9c%d7%91/2025-01-01/,
HRZCT,25-01-01,22:30,Nosferatu,2024,https://www.hcinema.org.il/event/%d7%98%d7%a8%d7%95%d7%9d-%d7%91%d7%9b%d7%95%d7%a8%d7%94-%d7%a0%d7%95%d7%a1%d7%a4%d7%a8%d7%98%d7%95-nosferatu/,https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_SX300.jpg
JAFC,25-01-01,18:00,Pretty Woman,1990,https://www.jaffacinema.com/calendar/5588/,https://m.media-amazon.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_SX300.jpg
