title,poster,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,popularity
Adios Buenos Aires,https://m.media-amazon.com/images/M/MV5BOTUwYzhhN2YtOGM5ZC00Y2ZlLThjNzItYTVlMmM1OTEwMDFhXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,90,tt27042638,6.5,188,88,52.71
Beetlejuice Beetlejuice,https://m.media-amazon.com/images/M/MV5BYmRlYzE3ZTYtNjIyZi00MWYyLWEzZDItOWI5NzM1Yjc0NmI5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,105,tt2049403,6.9,82566,77,61.22
Bhool Bhulaiyaa 3,https://m.media-amazon.com/images/M/MV5BMjYyMTM4NjMtMjgzOS00N2RiLTlmZDUtOWJlMDZiOTVkMzA4XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,158,tt26932223,5.9,58066,46,63.54
Black Tea,https://m.media-amazon.com/images/M/MV5BMjBhYjg3ZTgtODQxMi00M2I5LTljYWUtNDQxZmMxNGY2ZmU2XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110,tt21994228,5.2,356,27,58.72
Come Closer,https://m.media-amazon.com/images/M/MV5BNWYzY2ZlN2YtN2YyMy00ZTVjLTgzMjItYTMxZTIzZmEwNzJmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,107,tt27827069,0,15,0,45.61
Detroit Reawakening,https://m.media-amazon.com/images/M/MV5BMWRjNjNiZTUtNzA5OS00MjI1LWFhODAtMmYzNjJlZDEzN2NmXkEyXkFqcGdeQXVyNjc1MjY4NDU@._V1_SX300.jpg,2022,yes,90,tt17424530,0,12,0,61.14
Elevation 2001: U2 Live from Boston,https://m.media-amazon.com/images/M/MV5BMTY3OTQyMTgwMl5BMl5BanBnXkFtZTcwMDM4MDMyMQ@@._V1_SX300.jpg,2001,yes,107,tt0301962,8.5,1347,0,84.58
Emilia Pérez,https://m.media-amazon.com/images/M/MV5BMGM0OGNhMzktZGFlNC00NDRmLWJmOTgtYmQ0N2JlZGJhMzQyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,130,tt20221436,7.4,3097,0,77.31
Fallen Leaves,https://m.media-amazon.com/images/M/MV5BZjNkY2M5NWMtZjJiMy00YTZmLWI2NWEtZTI0MjhmNDc4ZThmXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,81,tt21027780,7.3,28885,97,4.46
Gladiator II,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,150,tt9218128,0,0,75,95.82
