title,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,popularity,poster
200% Wolf,2024,yes,98,tt27722575,5.3,600,0,83.72,https://m.media-amazon.com/images/M/MV5BZjQyYzkxNjEtZmY4Yy00ZTVkLWJiZWUtZWFkNTE5MDY5MjNmXkEyXkFqcGc@._V1_SX300.jpg
9 Bullets,2022,yes,97,tt13680520,4.1,3K,0,83.22,https://m.media-amazon.com/images/M/MV5BM2Q5YTJlZjYtNzY4OC00NmZkLWFkMTYtMjRiOWFmOGY4Y2FlXkEyXkFqcGc@._V1_SX300.jpg
9/11: I Was There,2021,yes,86,tt12922454,8.1,800,0,93.55,https://m.media-amazon.com/images/M/MV5BNzJmMmI1NzMtMWY0My00MmEyLThjMGYtODk3YTRiMjlkYWUwXkEyXkFqcGc@._V1_SX300.jpg
A Real Pain,2024,yes,90,tt21823606,7.6,6K,95,90.27,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
Absolution,2024,yes,112,tt8337290,5.2,4K,53,61.63,https://m.media-amazon.com/images/M/MV5BYWRiM2ViOGItNGVjZS00NzZhLTlhMjAtZDIzMDJmODc0NzdhXkEyXkFqcGc@._V1_SX300.jpg
And the Party Goes On,2023,yes,106,tt28182919,6.3,300,0,54.36,https://m.media-amazon.com/images/M/MV5BNjg3NDgzYTktOGU2Ny00NWUyLTllMTgtNzg0MGM4MjRkMWRiXkEyXkFqcGc@._V1_SX300.jpg
Anora,2024,yes,139,tt28607951,8.0,34K,96,83.52,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg
Arugam Bay,2023,yes,97,tt23790724,0.0,0,0,59.94,https://m.media-amazon.com/images/M/MV5BNGRhZmUyMTYtY2M4Yi00ZjdkLTg1YjQtYTdmOTkxZGFiOTk0XkEyXkFqcGc@._V1_SX300.jpg
Babygirl,2024,yes,114,tt30057084,6.0,1K,88,75.12,https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg
Better Man,2024,yes,134,tt14260836,0.0,300,88,96.55,https://m.media-amazon.com/images/M/MV5BZDdhZWNkZTYtMzZjMy00OWIzLTllNGEtOWU0NjZhNjFiZTViXkEyXkFqcGc@._V1_SX300.jpg
Bridget Jones: Mad About the Boy,2025,yes,120,tt32063050,0.0,0,0,60.47,https://m.media-amazon.com/images/M/MV5BMmM3MDc5ZGEtYzMwMi00MjQxLTgyMDAtMDAwY2UwMjdmMTIyXkEyXkFqcGc@._V1_SX300.jpg
Cellar Door,2024,yes,97,tt11950888,5.2,2K,24,63.56,https://m.media-amazon.com/images/M/MV5BYmIyNDdkMWUtNmU3MC00MzAyLWIxZTMtNDk5MjgwMTRjNzcyXkEyXkFqcGc@._V1_SX300.jpg
Cocorico,2024,yes,92,tt19381382,5.8,3K,0,59.31,https://m.media-amazon.com/images/M/MV5BMDQ4ODhkMGQtMDdhYS00YmU4LWI3NjItMzhhYzg0M2EwNTdmXkEyXkFqcGc@._V1_SX300.jpg
Dirty Angels,2024,yes,104,tt23872640,4.1,1K,32,51.16,https://m.media-amazon.com/images/M/MV5BNGZlN2RmM2MtODgyYS00MGJiLWE4OGEtNzJiMjlhMzVjZDc0XkEyXkFqcGc@._V1_SX300.jpg
Emilia Pérez,2024,yes,132,tt20221436,6.8,17K,0,65.79,https://m.media-amazon.com/images/M/MV5BNjBhMWVmYjQtYmI2NC00NjdiLTliMjQtODliYjI5OTZmMzczXkEyXkFqcGc@._V1_SX300.jpg
Falling for Figaro,2020,yes,104,tt7392014,6.5,4K,73,54.65,https://m.media-amazon.com/images/M/MV5BYjg1M2IzZTMtY2Y4NC00MGNmLWIyODUtM2ZkZDVmMzc0N2Y3XkEyXkFqcGc@._V1_SX300.jpg
Ghost Cat Anzu,2024,yes,97,tt28036831,6.6,300,65,63.02,https://m.media-amazon.com/images/M/MV5BNDk3MmMyNTMtMjgxOC00NjBhLThmYjMtNzBiY2I5ZTJhZjNjXkEyXkFqcGc@._V1_SX300.jpg
Gladiator II,2024,yes,148,tt9218128,6.9,113K,71,62.45,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg
Here,2024,yes,104,tt18272208,6.2,6K,37,63.69,https://m.media-amazon.com/images/M/MV5BYWQ5ZDQ5YWQtMThiMS00MGM4LTk2NjktYTllYzg2NTRiNTMxXkEyXkFqcGc@._V1_SX300.jpg
Here Now,2024,yes,118,tt29293152,0.0,0,0,59.73,https://m.media-amazon.com/images/M/MV5BMTRhYmMxMGEtNTA2ZS00MzMwLTk4NmItYTcyYWJjYjhmMTYwXkEyXkFqcGc@._V1_SX300.jpg
Heretic,2024,yes,111,tt28015403,7.1,50K,91,58.0,https://m.media-amazon.com/images/M/MV5BMzFiMWM4YjAtY2Y3Yi00MDIzLTk0N2MtYTAwNGM3ZmMwODhlXkEyXkFqcGc@._V1_SX300.jpg
Hounds of War,2024,yes,95,tt12972134,4.5,1K,0,59.68,https://m.media-amazon.com/images/M/MV5BMGM4NTYxMjktOTIxMS00NTQ0LWI1ZjAtY2JmODM1YjgyNTUzXkEyXkFqcGc@._V1_SX300.jpg
It Ends with Us,2024,yes,130,tt10655524,6.5,59K,55,56.98,https://m.media-amazon.com/images/M/MV5BYzM2NGMzNGQtZjNhMi00MTVkLTg2ZGQtN2M4OTllYzU1Y2Y0XkEyXkFqcGc@._V1_SX300.jpg
Kraven the Hunter,2024,yes,127,tt8790086,0.0,0,15,72.4,https://m.media-amazon.com/images/M/MV5BZDU0YTI5ODAtN2NmMS00YTg3LTgyNDItN2RmOWEzOTkzZjcyXkEyXkFqcGc@._V1_SX300.jpg
La chambre des merveilles,2017,yes,53,tt14613124,0.0,0,0,84.88,https://m.media-amazon.com/images/M/MV5BMzg0ZGU3YTQtZWRhYS00MDliLWFhNDMtMTU2OGUwMmI3N2QyXkEyXkFqcGdeQXVyMjIwNjIxNjc@._V1_SX300.jpg
Lee,2023,yes,117,tt5112584,6.9,14K,66,63.98,https://m.media-amazon.com/images/M/MV5BMDlhMDY0NTAtOTQwZi00ZjIxLTk2ZmYtZjU1Y2FiYWRhZDk3XkEyXkFqcGc@._V1_SX300.jpg
"Love, Classified",2022,yes,86,tt17506016,6.4,2K,0,53.98,https://m.media-amazon.com/images/M/MV5BYjcxNTNhZmEtNTk3ZS00NGU0LWIyZTgtZDc2YzFhMGMxY2UyXkEyXkFqcGc@._V1_SX300.jpg
Macbeth,2015,yes,113,tt2884018,6.6,60K,80,52.33,https://m.media-amazon.com/images/M/MV5BNzgyNDczMjU4NV5BMl5BanBnXkFtZTgwMTUwMDI3NjE@._V1_SX300.jpg
Matchmaking 2,2024,yes,110,tt34170136,7.9,0,0,69.6,https://m.media-amazon.com/images/M/MV5BYTQ5MDRiZjMtNzRjMi00Njk4LTliMjQtMTQxMjhlOGYxNDM5XkEyXkFqcGc@._V1_SX300.jpg
Moana 2,2024,yes,100,tt13622970,6.9,49K,61,70.87,https://m.media-amazon.com/images/M/MV5BZDUxNThhYTUtYjgxNy00MGQ4LTgzOTEtZjg1YTU5NTcwNThlXkEyXkFqcGc@._V1_SX300.jpg
Mufasa: The Lion King,2024,yes,120,tt13186482,0.0,0,0,82.7,https://m.media-amazon.com/images/M/MV5BYjBkOWUwODYtYWI3YS00N2I0LWEyYTktOTJjM2YzOTc3ZDNlXkEyXkFqcGc@._V1_SX300.jpg
Nosferatu,2024,yes,133,tt5040012,0.0,0,94,89.96,https://m.media-amazon.com/images/M/MV5BY2FhZGE3NmEtNWJjOC00NDI1LWFhMTQtMjcxNmQzZmEwNGIzXkEyXkFqcGc@._V1_SX300.jpg
Queer,2024,yes,135,tt24176060,5.6,1K,77,10,https://m.media-amazon.com/images/M/MV5BNWIyMGM0Y2QtMzIwNy00MzM1LTkxZWEtYTcwMzM1MzNiMmNjXkEyXkFqcGc@._V1_SX300.jpg
