cinema,date,time,timeHref,title,snif,type
HC,24-12-31,22:20,2860,9 Bullets,Kiryat Bialik,R
HC,24-12-31,22:30,2860,9 Bullets,Haifa,R
CC,24-12-31,22:30,5393,9 Bullets,Glilot,R
CC,24-12-31,21:45,5393,9 Bullets,Rishon Letzion,R
CC,24-12-31,00:10,5393,9 Bullets,Rishon Letzion,R
CC,24-12-31,22:15,5393,9 Bullets,Jerusalem,R
CC,24-12-31,00:30,5393,9 Bullets,Jerusalem,R
CC,24-12-31,22:00,5393,9 Bullets,Kfar Saba,R
CC,24-12-31,20:50,5393,9 Bullets,Netanya,R
CC,24-12-31,23:20,5393,9 Bullets,Netanya,R
CC,24-12-31,22:00,5393,9 Bullets,Beer Sheva,R
CC,24-12-31,22:50,5393,9 Bullets,Beer Sheva,R
CC,24-12-31,20:00,5393,9 Bullets,Chadera,R
CC,24-12-31,22:10,5393,9 Bullets,Chadera,R
CC,24-12-31,23:20,5393,9 Bullets,Chadera,R
CC,24-12-31,20:00,5393,9 Bullets,Ashdod,R
CC,24-12-31,22:20,5393,9 Bullets,Ashdod,R
CC,24-12-31,18:20,5241,9/11: I Was There,Glilot,R
CC,24-12-31,19:00,5241,9/11: I Was There,Glilot,R
CC,24-12-31,20:00,5241,9/11: I Was There,Glilot,R
CC,24-12-31,20:40,5241,9/11: I Was There,Glilot,R
CC,24-12-31,21:00,5241,9/11: I Was There,Glilot,R
CC,24-12-31,21:40,5241,9/11: I Was There,Glilot,R
CC,24-12-31,22:20,5241,9/11: I Was There,Glilot,R
CC,24-12-31,19:30,5241,9/11: I Was There,Rishon Letzion,R
CC,24-12-31,20:00,5241,9/11: I Was There,Rishon Letzion,R
CC,24-12-31,21:00,5241,9/11: I Was There,Rishon Letzion,R
CC,24-12-31,21:50,5241,9/11: I Was There,Rishon Letzion,R
CC,24-12-31,23:00,5241,9/11: I Was There,Rishon Letzion,R
CC,24-12-31,00:00,5241,9/11: I Was There,Rishon Letzion,R
CC,24-12-31,19:20,5241,9/11: I Was There,Jerusalem,R
CC,24-12-31,20:40,5241,9/11: I Was There,Jerusalem,R
