cinema,date,title,year,poster
CS,14/11/2024,Gladiator II,2024,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg
CS,21/11/2024,Wicked,2024,https://m.media-amazon.com/images/M/MV5BMzE0NjU1NjctNTY5Mi00OGE2LWJkYjktZDI0MTNjN2RhNDMwXkEyXkFqcGc@._V1_SX300.jpg
CS,21/11/2024,Take Me Home,2023,https://m.media-amazon.com/images/M/MV5BZmNhODIwNTYtNzBlNy00ZjMzLWE5ZGEtM2UzMGYyMzFhNDAyXkEyXkFqcGc@._V1_SX300.jpg
CS,21/11/2024,The Substance,2024,https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_SX300.jpg
CS,28/11/2024,The Promised Land,2023,https://m.media-amazon.com/images/M/MV5BYWViODY0NTMtYjEyOS00NDEwLWFjZDYtOGYyZDEzMjZkOGE2XkEyXkFqcGc@._V1_SX300.jpg
CS,28/11/2024,Moana 2,2024,https://m.media-amazon.com/images/M/MV5BZDUxNThhYTUtYjgxNy00MGQ4LTgzOTEtZjg1YTU5NTcwNThlXkEyXkFqcGc@._V1_SX300.jpg
CS,28/11/2024,Here,2024,https://m.media-amazon.com/images/M/MV5BYWQ5ZDQ5YWQtMThiMS00MGM4LTk2NjktYTllYzg2NTRiNTMxXkEyXkFqcGc@._V1_SX300.jpg
CS,28/11/2024,Heretic,2024,https://m.media-amazon.com/images/M/MV5BMzFiMWM4YjAtY2Y3Yi00MDIzLTk0N2MtYTAwNGM3ZmMwODhlXkEyXkFqcGc@._V1_SX300.jpg
CS,28/11/2024,The Other Way Around,2024,https://m.media-amazon.com/images/M/MV5BNTVkNDU5NzUtMTUzZS00MTgzLWJjZTgtNjM1YmI2ODFlMDYzXkEyXkFqcGc@._V1_SX300.jpg
CS,05/12/2024,Io Capitano,2023,https://m.media-amazon.com/images/M/MV5BZGI1OTg3MGMtZTFhMy00ZjFkLTk5YmEtY2MzMDIzNTA3MzdiXkEyXkFqcGc@._V1_SX300.jpg
CS,05/12/2024,Small Things Like These,2024,https://m.media-amazon.com/images/M/MV5BYzM2MmVkY2QtMTdmOS00YmNhLTg3NjktNmY1YTQ3ODQ0MTAxXkEyXkFqcGc@._V1_SX300.jpg
CS,12/12/2024,Absolution,2023,https://m.media-amazon.com/images/M/MV5BNGU1NDBkOTQtOTA1MC00NmVmLTg4NGMtZTIzMzQ2MWYwODNkXkEyXkFqcGdeQXVyNjE4MzY5MjE@._V1_SX300.jpg
CS,12/12/2024,Anora,2024,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg
CS,12/12/2024,Kraven the Hunter,2024,https://m.media-amazon.com/images/M/MV5BZDU0YTI5ODAtN2NmMS00YTg3LTgyNDItN2RmOWEzOTkzZjcyXkEyXkFqcGc@._V1_SX300.jpg
CS,19/12/2024,Mufasa: The Lion King,2024,https://m.media-amazon.com/images/M/MV5BNjg1YzI5ZmQtZjZkOC00ZDMzLWI4YjYtMmY5MzZjYWE3YzhjXkEyXkFqcGc@._V1_SX300.jpg
CS,26/12/2024,The Room Next Door,2024,https://m.media-amazon.com/images/M/MV5BYzk2MjI1YTgtOTcxYS00OTUyLTgyOTAtMGE0OGYyMjc0MTc3XkEyXkFqcGc@._V1_SX300.jpg
CS,26/12/2024,Sonic the Hedgehog 3,2024,https://m.media-amazon.com/images/M/MV5BZTkyMGFlNzMtMTljOC00ZDMyLWE5NWItMzVjMDZmNzA2Yjc2XkEyXkFqcGc@._V1_SX300.jpg
CS,09/01/2025,Den of Thieves 2: Pantera,2025,https://m.media-amazon.com/images/M/MV5BNGM5NDRiY2MtNWY3Ni00MGY4LWFmMTAtOTRhNDQxYmYxMmM4XkEyXkFqcGc@._V1_SX300.jpg
CS,09/01/2025,A Real Pain,2024,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
CS,09/01/2025,Stand Up Rahul,2022,https://m.media-amazon.com/images/M/MV5BNjQ4NmU5ZGMtZWY4OS00NzVkLWE2NWYtODE2NTQwN2ZlZDVlXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_SX300.jpg
CS,16/01/2025,Wolf Man,2025,https://m.media-amazon.com/images/M/MV5BZTNiYzBmYTUtZDVmNC00NzJhLWFmNDEtNzM4NjJjZWI5NTQyXkEyXkFqcGc@._V1_SX300.jpg
CS,16/01/2025,Super-Man: The Christopher Reeve Story,2024,https://m.media-amazon.com/images/M/MV5BNzhhMjRkMmEtMGJiMi00NGEzLWExYzItNzliYmM2YmI0MjVkXkEyXkFqcGc@._V1_SX300.jpg
CS,30/01/2025,Hustle & Flow,2005,https://m.media-amazon.com/images/M/MV5BN2Y0YTQ5ODQtY2YwYi00ZTYzLWIwYjgtYzViNTgzOGJlZmFmXkEyXkFqcGc@._V1_SX300.jpg
CS,13/02/2025,Captain America: Brave New World,2025,https://m.media-amazon.com/images/M/MV5BZTk2NTUxZDItN2Y1Ni00MDFjLTg4OWItMWY3M2Q2OGNiODUwXkEyXkFqcGc@._V1_SX300.jpg
CS,20/03/2025,Snow White,2025,https://m.media-amazon.com/images/M/MV5BZTQ1OTliZWItMzE5Zi00YzA5LTgzN2ItZjA5MjQ1ZGU3YjE2XkEyXkFqcGc@._V1_SX300.jpg
CS,17/04/2025,Mickey 17,2025,https://m.media-amazon.com/images/M/MV5BYzlkODNiMjItZTg0OS00NWVhLTgwNjgtNDEzZWY2MGJhZDkyXkEyXkFqcGc@._V1_SX300.jpg
CS,01/05/2025,Thunderbolts,2025,https://m.media-amazon.com/images/M/MV5BYTVlNDViYWUtYmQ4Ny00Y2NhLWFjMGMtNTEyYTg5ZWNkMzhiXkEyXkFqcGc@._V1_SX300.jpg
CS,05/06/2025,Ballerina,2023,https://m.media-amazon.com/images/M/MV5BOTgxNzA0MDktYzc5ZC00MGY3LWIwYjItMDJhNzE2ZGFjYmE1XkEyXkFqcGc@._V1_SX300.jpg
