title,poster,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,popularity
Anora,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,139,tt28607951,8.2,18941,96,81.67
Bad Genius,https://m.media-amazon.com/images/M/MV5BYjNiNTNlZTYtZTYzZS00MGIyLTlkYjMtYTEyNTlhM2NjYTEyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96,tt17717416,6.0,1176,79,24.07
Cellar Door,https://m.media-amazon.com/images/M/MV5BYmIyNDdkMWUtNmU3MC00MzAyLWIxZTMtNDk5MjgwMTRjNzcyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,97,tt11950888,5.2,1624,21,61.14
Come Closer,https://m.media-amazon.com/images/M/MV5BNWYzY2ZlN2YtN2YyMy00ZTVjLTgzMjItYTMxZTIzZmEwNzJmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,107,tt27827069,0.0,15,0,50.67
Eid Mubarak,https://m.media-amazon.com/images/M/MV5BZjRiY2IyMjgtZDZiYi00YTA0LTk4NmMtMzBkMzk5NDIxNzdjXkEyXkFqcGdeQXVyMTAxNjIwMjYz._V1_SX300.jpg,2023,yes,16,tt21822260,0.0,9,0,63.25
Elevation,https://m.media-amazon.com/images/M/MV5BY2NiNDM0NWYtNzQxNi00NmY1LTg1YmYtMDE5ZmQzMGJlMGQzXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,91,tt23558280,5.8,814,55,64.81
Emilia Pérez,https://m.media-amazon.com/images/M/MV5BMGM0OGNhMzktZGFlNC00NDRmLWJmOTgtYmQ0N2JlZGJhMzQyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,132,tt20221436,7.0,9245,0,54.47
Fallen Leaves,https://m.media-amazon.com/images/M/MV5BZjNkY2M5NWMtZjJiMy00YTZmLWI2NWEtZTI0MjhmNDc4ZThmXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,81,tt21027780,7.3,28885,97,4.46
Gladiator II,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,148,tt9218128,7.0,33771,75,77.11
Goodrich,https://m.media-amazon.com/images/M/MV5BMWVkNDNmYjEtNDZiYS00NjcyLWJiMWYtZTc2Y2FhMzc4NTE0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110,tt10171472,6.3,1528,78,58.91
Here,https://m.media-amazon.com/images/M/MV5BYWQ5ZDQ5YWQtMThiMS00MGM4LTk2NjktYTllYzg2NTRiNTMxXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,104,tt18272208,5.6,251,36,84.9
