cinema,date,title,year,poster
CS,28/11/2024,The Promised Land,2023,https://m.media-amazon.com/images/M/MV5BYWViODY0NTMtYjEyOS00NDEwLWFjZDYtOGYyZDEzMjZkOGE2XkEyXkFqcGc@._V1_SX300.jpg
CS,28/11/2024,Moana 2,2024,https://m.media-amazon.com/images/M/MV5BZDUxNThhYTUtYjgxNy00MGQ4LTgzOTEtZjg1YTU5NTcwNThlXkEyXkFqcGc@._V1_SX300.jpg
CS,28/11/2024,Heretic,2024,https://m.media-amazon.com/images/M/MV5BMzFiMWM4YjAtY2Y3Yi00MDIzLTk0N2MtYTAwNGM3ZmMwODhlXkEyXkFqcGc@._V1_SX300.jpg
CS,03/12/2024,Here,2024,https://m.media-amazon.com/images/M/MV5BYWQ5ZDQ5YWQtMThiMS00MGM4LTk2NjktYTllYzg2NTRiNTMxXkEyXkFqcGc@._V1_SX300.jpg
CS,05/12/2024,Io Capitano,2023,https://m.media-amazon.com/images/M/MV5BZGI1OTg3MGMtZTFhMy00ZjFkLTk5YmEtY2MzMDIzNTA3MzdiXkEyXkFqcGc@._V1_SX300.jpg
CS,05/12/2024,Small Things Like These,2024,https://m.media-amazon.com/images/M/MV5BYzM2MmVkY2QtMTdmOS00YmNhLTg3NjktNmY1YTQ3ODQ0MTAxXkEyXkFqcGc@._V1_SX300.jpg
CS,12/12/2024,Kraven the Hunter,2024,https://m.media-amazon.com/images/M/MV5BZDU0YTI5ODAtN2NmMS00YTg3LTgyNDItN2RmOWEzOTkzZjcyXkEyXkFqcGc@._V1_SX300.jpg
CS,12/12/2024,Anora,2024,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg
CS,12/12/2024,Lee,2023,https://m.media-amazon.com/images/M/MV5BMDlhMDY0NTAtOTQwZi00ZjIxLTk2ZmYtZjU1Y2FiYWRhZDk3XkEyXkFqcGc@._V1_SX300.jpg
CS,19/12/2024,Mufasa: The Lion King,2024,https://m.media-amazon.com/images/M/MV5BNjg1YzI5ZmQtZjZkOC00ZDMzLWI4YjYtMmY5MzZjYWE3YzhjXkEyXkFqcGc@._V1_SX300.jpg
CS,26/12/2024,Sonic the Hedgehog 3,2024,https://m.media-amazon.com/images/M/MV5BZTkyMGFlNzMtMTljOC00ZDMyLWE5NWItMzVjMDZmNzA2Yjc2XkEyXkFqcGc@._V1_SX300.jpg
CS,02/01/2025,A Real Pain,2024,https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
CS,02/01/2025,Babygirl,2024,https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg
CS,09/01/2025,Den of Thieves 2: Pantera,2025,https://m.media-amazon.com/images/M/MV5BNGM5NDRiY2MtNWY3Ni00MGY4LWFmMTAtOTRhNDQxYmYxMmM4XkEyXkFqcGc@._V1_SX300.jpg
CS,16/01/2025,Wolf Man,2025,https://m.media-amazon.com/images/M/MV5BZTNiYzBmYTUtZDVmNC00NzJhLWFmNDEtNzM4NjJjZWI5NTQyXkEyXkFqcGc@._V1_SX300.jpg
