title,poster,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,popularity
Beetlejuice Beetlejuice,https://m.media-amazon.com/images/M/MV5BYmRlYzE3ZTYtNjIyZi00MWYyLWEzZDItOWI5NzM1Yjc0NmI5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,105.0,tt2049403,6.9,82566,77,61.48
Black Tea,https://m.media-amazon.com/images/M/MV5BMjBhYjg3ZTgtODQxMi00M2I5LTljYWUtNDQxZmMxNGY2ZmU2XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110.0,tt21994228,5.2,356,27,68.83
Come Closer,https://m.media-amazon.com/images/M/MV5BNWYzY2ZlN2YtN2YyMy00ZTVjLTgzMjItYTMxZTIzZmEwNzJmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,107.0,tt27827069,0.0,15,0,50.68
Deadpool & Wolverine,https://m.media-amazon.com/images/M/MV5BZTk5ODY0MmQtMzA3Ni00NGY1LThiYzItZThiNjFiNDM4MTM3XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,128.0,tt6263850,7.8,359971,78,57.0
Elevation 2001: U2 Live from Boston,https://m.media-amazon.com/images/M/MV5BMTY3OTQyMTgwMl5BMl5BanBnXkFtZTcwMDM4MDMyMQ@@._V1_SX300.jpg,2001,yes,107.0,tt0301962,8.5,1347,0,72.56
Emilia Pérez,https://m.media-amazon.com/images/M/MV5BMGM0OGNhMzktZGFlNC00NDRmLWJmOTgtYmQ0N2JlZGJhMzQyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,130.0,tt20221436,7.4,3097,0,83.09
Fallen Leaves,https://m.media-amazon.com/images/M/MV5BZjNkY2M5NWMtZjJiMy00YTZmLWI2NWEtZTI0MjhmNDc4ZThmXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,81.0,tt21027780,7.3,28885,97,4.46
Gladiator II,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,150.0,tt9218128,0.0,0,0,99.11
Goodrich,https://m.media-amazon.com/images/M/MV5BMWVkNDNmYjEtNDZiYS00NjcyLWJiMWYtZTc2Y2FhMzc4NTE0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,111.0,tt10171472,0.0,0,78,83.79
It Ends with Us,https://m.media-amazon.com/images/M/MV5BYzM2NGMzNGQtZjNhMi00MTVkLTg2ZGQtN2M4OTllYzU1Y2Y0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,130.0,tt10655524,6.5,41885,57,51.99
