cinema,date,title,year,poster
CS,23/10/2024,Venom: The Last Dance,2024,https://m.media-amazon.com/images/M/MV5BZDMyYWU4NzItZDY0MC00ODE2LTkyYTMtMzNkNDdmYmFhZDg0XkEyXkFqcGc@._V1_SX300.jpg
CS,24/10/2024,Weekend in Taipei,2024,https://m.media-amazon.com/images/M/MV5BY2JiNDJiN2EtNGRlNC00ODE2LTgwNmQtOGFiZTk0NjZlMmFhXkEyXkFqcGc@._V1_SX300.jpg
CS,24/10/2024,Black Tea,2024,https://m.media-amazon.com/images/M/MV5BNzU0MWIyODQtZmFmYS00NGRiLTgyMTctYjIxMmVmZDI4ZThmXkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_SX300.jpg
CS,24/10/2024,This Is My Mother,2023,https://m.media-amazon.com/images/M/MV5BOTQwNWEyMGUtOTIyNC00MDcxLTgzOWEtNjFhZGE0YTM2YTg2XkEyXkFqcGdeQXVyNTAyNDQzNjI@._V1_SX300.jpg
CS,24/10/2024,Red Flower,2023,https://m.media-amazon.com/images/M/MV5BNDg2OTE5NTUtM2UzZi00MDczLTk0NDgtNDZkOWZlZGRiNTE5XkEyXkFqcGc@._V1_SX300.jpg
CS,24/10/2024,Transformers One,2024,https://m.media-amazon.com/images/M/MV5BZWI1ZDY1YTQtMjRkNy00ZDZhLWE3OTItMTIwNzliY2Y1MTZhXkEyXkFqcGc@._V1_SX300.jpg
CS,30/10/2024,The Wild Robot,2024,https://m.media-amazon.com/images/M/MV5BZjM2M2E3YzAtZDJjYy00MDhkLThiYmItOGZhNzQ3NTgyZmI0XkEyXkFqcGc@._V1_SX300.jpg
CS,30/10/2024,The Man Who Saved the Internet with a Sunflower,2024,https://m.media-amazon.com/images/M/MV5BYWZhMDlkYjAtYjRiZS00ZjYyLWI4NzctODcwNzA2MTEwNWE4XkEyXkFqcGdeQXVyMTc2NDMyNTYy._V1_SX300.jpg
CS,31/10/2024,Memory,2022,https://m.media-amazon.com/images/M/MV5BNjk1ZjBkMTgtZmIwMi00OTM0LTk4ZGQtNDE0YmNkY2I3YTMyXkEyXkFqcGc@._V1_SX300.jpg
CS,31/10/2024,"Love, Classified",2022,https://m.media-amazon.com/images/M/MV5BNDM0NjAzNzEtMDhjMy00OTVkLWI4NDktZGFlZmRkMjRmMGQwXkEyXkFqcGdeQXVyNTI0MTI0OTY@._V1_SX300.jpg
CS,07/11/2024,Emilia Pérez,2024,https://m.media-amazon.com/images/M/MV5BMGM0OGNhMzktZGFlNC00NDRmLWJmOTgtYmQ0N2JlZGJhMzQyXkEyXkFqcGc@._V1_SX300.jpg
CS,07/11/2024,La Cocina,2024,https://m.media-amazon.com/images/M/MV5BNDMzZThlNjAtNzNjNS00OTg0LWE5ZDItZDMxNzA1OTdkODA1XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_SX300.jpg
CS,14/11/2024,The Braid,2023,https://m.media-amazon.com/images/M/MV5BOTM2NjBjM2ItNjdmZi00MTljLTliZjctNzE4ZGM5NTIwODc1XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_SX300.jpg
CS,14/11/2024,Gladiator II,2024,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg
CS,21/11/2024,Take Me Home,2023,https://m.media-amazon.com/images/M/MV5BZmNhODIwNTYtNzBlNy00ZjMzLWE5ZGEtM2UzMGYyMzFhNDAyXkEyXkFqcGc@._V1_SX300.jpg
CS,21/11/2024,Wicked,2024,https://m.media-amazon.com/images/M/MV5BMzE0NjU1NjctNTY5Mi00OGE2LWJkYjktZDI0MTNjN2RhNDMwXkEyXkFqcGc@._V1_SX300.jpg
CS,25/11/2024,Tosca,,https://m.media-amazon.com/images/M/MV5BMTg2MjliNGEtZGY1ZS00YzViLWIxOTEtOWVlZDVjNTM1MjIwXkEyXkFqcGc@._V1_SX300.jpg
CS,28/11/2024,The Promised Land,2023,https://m.media-amazon.com/images/M/MV5BYWViODY0NTMtYjEyOS00NDEwLWFjZDYtOGYyZDEzMjZkOGE2XkEyXkFqcGc@._V1_SX300.jpg
CS,28/11/2024,Moana 2,2024,https://m.media-amazon.com/images/M/MV5BZTU3YzdlNjQtY2ExOS00YjMyLTg2OWEtMzcwYmU0NWQzMmU1XkEyXkFqcGc@._V1_SX300.jpg
