title,poster,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,popularity
Absolution,https://m.media-amazon.com/images/M/MV5BYWRiM2ViOGItNGVjZS00NzZhLTlhMjAtZDIzMDJmODc0NzdhXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,112,tt8337290,5.3,819,52,87.12
And the Party Goes On,https://m.media-amazon.com/images/M/MV5BNjg3NDgzYTktOGU2Ny00NWUyLTllMTgtNzg0MGM4MjRkMWRiXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,106,tt28182919,6.3,338,0,61.9
Anora,https://m.media-amazon.com/images/M/MV5BYThiN2M0NTItODRmNC00NDhlLWFiYTgtMWM2YTEyYzI3ZTY1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,139,tt28607951,8.2,18941,96,99.6
Arugam Bay,https://m.media-amazon.com/images/M/MV5BNGRhZmUyMTYtY2M4Yi00ZjdkLTg1YjQtYTdmOTkxZGFiOTk0XkEyXkFqcGc@._V1_SX300.jpg,2023,yes,97,tt23790724,0.0,17,0,70.7
Bad Genius,https://m.media-amazon.com/images/M/MV5BYjNiNTNlZTYtZTYzZS00MGIyLTlkYjMtYTEyNTlhM2NjYTEyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96,tt17717416,6.0,1176,79,17.31
Cellar Door,https://m.media-amazon.com/images/M/MV5BYmIyNDdkMWUtNmU3MC00MzAyLWIxZTMtNDk5MjgwMTRjNzcyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,97,tt11950888,5.2,1624,21,49.41
Cocorico,https://m.media-amazon.com/images/M/MV5BMDQ4ODhkMGQtMDdhYS00YmU4LWI3NjItMzhhYzg0M2EwNTdmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,92,tt19381382,5.8,2566,0,76.6
Come Closer,https://m.media-amazon.com/images/M/MV5BNWYzY2ZlN2YtN2YyMy00ZTVjLTgzMjItYTMxZTIzZmEwNzJmXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,107,tt27827069,0.0,15,0,50.77
Eid Mubarak,https://m.media-amazon.com/images/M/MV5BZjRiY2IyMjgtZDZiYi00YTA0LTk4NmMtMzBkMzk5NDIxNzdjXkEyXkFqcGdeQXVyMTAxNjIwMjYz._V1_SX300.jpg,2023,yes,16,tt21822260,0.0,9,0,66.17
Elevation,https://m.media-amazon.com/images/M/MV5BY2NiNDM0NWYtNzQxNi00NmY1LTg1YmYtMDE5ZmQzMGJlMGQzXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,91,tt23558280,5.8,814,55,50.0
Emilia Pérez,https://m.media-amazon.com/images/M/MV5BMGM0OGNhMzktZGFlNC00NDRmLWJmOTgtYmQ0N2JlZGJhMzQyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,132,tt20221436,7.0,9245,0,47.69
Fallen Leaves,https://m.media-amazon.com/images/M/MV5BZjNkY2M5NWMtZjJiMy00YTZmLWI2NWEtZTI0MjhmNDc4ZThmXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,81,tt21027780,7.3,28885,97,64.2
Gladiator II,https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,148,tt9218128,7.0,33771,75,79.52
Goodrich,https://m.media-amazon.com/images/M/MV5BMWVkNDNmYjEtNDZiYS00NjcyLWJiMWYtZTc2Y2FhMzc4NTE0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110,tt10171472,6.3,1528,81,73.64
Here,https://m.media-amazon.com/images/M/MV5BYWQ5ZDQ5YWQtMThiMS00MGM4LTk2NjktYTllYzg2NTRiNTMxXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,104,tt18272208,6.2,6474,36,77.61
Here Now,https://m.media-amazon.com/images/M/MV5BMTRhYmMxMGEtNTA2ZS00MzMwLTk4NmItYTcyYWJjYjhmMTYwXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,118,tt29293152,0.0,9,0,68.9
Heretic,https://m.media-amazon.com/images/M/MV5BMzFiMWM4YjAtY2Y3Yi00MDIzLTk0N2MtYTAwNGM3ZmMwODhlXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,111,tt28015403,7.3,13862,92,70.47
Hounds of War,https://m.media-amazon.com/images/M/MV5BMGM4NTYxMjktOTIxMS00NTQ0LWI1ZjAtY2JmODM1YjgyNTUzXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,95,tt12972134,4.5,1285,0,62.92
Io Capitano,https://m.media-amazon.com/images/M/MV5BZGI1OTg3MGMtZTFhMy00ZjFkLTk5YmEtY2MzMDIzNTA3MzdiXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,121,tt14225838,7.6,13939,96,69.41
