title,poster,year,valid,runtime,imdbID,imdbRating,imdbVotes,rtRating,popularity
1 Million Followers,https://m.media-amazon.com/images/M/MV5BNzBlMGE4MWYtYzYwNy00ZjJiLTg1ZGItNDNiNzBmY2Y4YjQ5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,101,tt20031676,0.0,7,0,69.27
A World Apart,https://m.media-amazon.com/images/M/MV5BNTA2NGNlNGMtOGFmOC00ODk2LTgxMGMtMjMzMTI4YjIyZDliXkEyXkFqcGc@._V1_SX300.jpg,1988,yes,113,tt0096464,7.0,1863,91,56.76
Adios Buenos Aires,https://m.media-amazon.com/images/M/MV5BOTUwYzhhN2YtOGM5ZC00Y2ZlLThjNzItYTVlMmM1OTEwMDFhXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,90,tt27042638,6.5,188,88,47.7
Anselm,https://m.media-amazon.com/images/M/MV5BYTJhYTUzZTYtMTVhZS00MmZjLWI0MjUtZDk5YTJlYWFjYzdjXkEyXkFqcGc@._V1_SX300.jpg,2023,yes,93,tt27502250,7.2,1732,98,58.82
"Attention, Papa Arrives!",https://m.media-amazon.com/images/M/MV5BMDBiYmNkOGMtYzMxMy00YTI4LWE5MjQtNWRlYTc4YjFkNDkxXkEyXkFqcGc@._V1_SX300.jpg,1991,yes,89,tt0102629,7.9,5991,0,44.59
Autumn and the Black Jaguar,https://m.media-amazon.com/images/M/MV5BYjk1ODU0MjMtN2ZiZC00ZDYxLTg1ZWItNzdhYzg2ZjM0MmRjXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,100,tt16740144,5.7,677,0,26.92
Bad Boys: Ride or Die,https://m.media-amazon.com/images/M/MV5BZWNjZWUwNDgtYTM4ZC00Zjk0LTg3ZWItNGEyZmVkZTIxZDk0XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,115,tt4919268,6.6,78188,65,70.27
Bad Genius,https://m.media-amazon.com/images/M/MV5BYjNiNTNlZTYtZTYzZS00MGIyLTlkYjMtYTEyNTlhM2NjYTEyXkEyXkFqcGc@._V1_SX300.jpg,2024,yes,96,tt17717416,6.0,338,83,44.23
Beetlejuice Beetlejuice,https://m.media-amazon.com/images/M/MV5BYmRlYzE3ZTYtNjIyZi00MWYyLWEzZDItOWI5NzM1Yjc0NmI5XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,105,tt2049403,6.9,82566,77,55.15
Black Tea,https://m.media-amazon.com/images/M/MV5BMjBhYjg3ZTgtODQxMi00M2I5LTljYWUtNDQxZmMxNGY2ZmU2XkEyXkFqcGc@._V1_SX300.jpg,2024,yes,110,tt21994228,5.2,356,27,83.34
